観測所番号 府県番号 地点コード 観測所名 経度 緯度
21323 21 47423 室蘭 140.9750 42.3117
22036 22 1202 日高 142.4417 42.8767
22072 22 1097 仁世宇 142.3583 42.7717
22106 22 1430 旭 142.3933 42.6283
22141 22 136 日高門別 142.0367 42.5217
22156 22 137 新和 142.3333 42.5433
22206 22 139 笹山 142.4817 42.4333
22241 22 140 静内 142.3617 42.3433
22291 22 1198 三石 142.6617 42.2450
22306 22 1288 中杵臼 142.9483 42.2233
22327 22 47426 浦河 142.7767 42.1617
22356 22 1276 目黒 143.3133 42.1267
22366 22 1264 幌満 143.0350 42.0767
22391 22 1340 えりも岬 143.2433 41.9250
23031 23 143 長万部 140.3817 42.5233
23086 23 144 八雲 140.2717 42.2517
23166 23 145 森 140.5883 42.0667
23191 23 146 大沼 140.7150 41.9767
23206 23 147 川汲 140.9700 41.9050
23226 23 148 北斗 140.6533 41.8867
23232 23 47430 函館 140.7533 41.8167
23281 23 1462 高松 140.8217 41.7700
23291 23 1543 戸井泊 141.0033 41.7167
23321 23 1552 知内 140.3750 41.5983
23326 23 917 木古内 140.4450 41.6867
23356 23 1265 千軒 140.2717 41.5583
23376 23 152 松前 140.0867 41.4233
24141 23 155 熊石 139.9850 42.1283
24041 24 153 せたな 139.8517 42.4500
24051 24 154 今金 140.0083 42.4283
24101 24 1199 奥尻 139.5567 42.2483
24156 24 1513 米岡 139.4283 42.0717
24166 24 156 潮見 140.0883 42.0383
24201 24 1200 鶉 140.3117 41.9300
24217 24 47428 江差 140.1233 41.8667
24236 24 1205 石崎 140.0283 41.7000
31001 31 1041 大間 140.9117 41.5267
31036 31 1559 湯野川 140.9567 41.3133
31111 31 47576 むつ 141.2100 41.2833
31121 31 1122 小田野沢 141.3967 41.2350
31136 31 1026 今別 140.4817 41.1800
31156 31 1124 脇野沢 140.8217 41.1450
31186 31 1119 市浦 140.3467 41.0567
31201 31 160 蟹田 140.6333 41.0450
31296 31 164 五所川原 140.4583 40.8083
31312 31 47575 青森 140.7683 40.8217
31321 31 1042 大和山 140.9850 40.8483
31332 31 162 野辺地 141.1600 40.8850
31336 31 1027 六ケ所 141.2717 40.8850
31366 31 163 鰺ケ沢 140.2050 40.7767
31386 31 1495 青森大谷 140.6883 40.7333
31411 31 1183 七戸 141.1283 40.7083
31436 31 47574 深浦 139.9317 40.6450
31451 31 1108 岳 140.2633 40.6283
31461 31 166 弘前 140.4550 40.6117
31466 31 167 黒石 140.5850 40.6667
31482 31 1079 酸ケ湯 140.8483 40.6483
31506 31 169 三沢 141.3750 40.6750
31551 31 174 大鰐 140.5550 40.5300
31562 31 1406 温川 140.7833 40.5150
31586 31 172 十和田 141.2467 40.5950
31602 31 47581 八戸 141.5217 40.5267
31602 31 47581 八戸 141.5217 40.5267
31646 31 175 碇ケ関 140.6200 40.4817
31662 31 177 休屋 140.8983 40.4267
31671 31 1272 戸来 141.1767 40.4683
31721 31 179 三戸 141.2567 40.3833
32056 32 1043 八森 139.9817 40.3883
32071 32 1273 藤里 140.2933 40.3200
32091 32 181 陣場 140.6083 40.4033
32096 32 1408 藤原 140.7817 40.3550
32111 32 183 能代 140.0317 40.1983
